,mapping_framework,mapping_framework_version,capability_group,capability_id,capability_description,mapping_type,attack_object_id,attack_object_name,attack_version,technology_domain,score_category,score_value,related_score,references,comments,organization,creation_date,last_update
0,kev,02/13/2025,Deserialization of Untrusted Data,CVE-2023-40044,Progress WS_FTP Server Deserialization of Untrusted Data Vulnerability,secondary_impact,T1202,Indirect Command Execution,15.1,enterprise,,,,"['https://www.assetnote.io/resources/research/rce-in-progress-ws-ftp-ad-hoc-via-iis-http-modules-cve-2023-40044', 'https://www.tenable.com/blog/cve-2023-40044-cve-2023-42657-progress-software-patches-multiple-vulnerabilities-in-ws-ftp']",Zero-day .NET deserialization vulnerability that allows an adversary to make an HTTP POST request to a vulnerable WS_FTP Server and execute commands.,,09/10/2024,02/11/2025
1,kev,02/13/2025,Deserialization of Untrusted Data,CVE-2023-40044,Progress WS_FTP Server Deserialization of Untrusted Data Vulnerability,primary_impact,T1071.002,File Transfer Protocols,15.1,enterprise,,,,"['https://www.assetnote.io/resources/research/rce-in-progress-ws-ftp-ad-hoc-via-iis-http-modules-cve-2023-40044', 'https://www.tenable.com/blog/cve-2023-40044-cve-2023-42657-progress-software-patches-multiple-vulnerabilities-in-ws-ftp']",Zero-day .NET deserialization vulnerability that allows an adversary to make an HTTP POST request to a vulnerable WS_FTP Server and execute commands.,,09/10/2024,02/11/2025
2,kev,02/13/2025,Command Injection,CVE-2022-36804,Atlassian Bitbucket Server and Data Center Command Injection Vulnerability,primary_impact,T1059,Command and Scripting Interpreter,15.1,enterprise,,,,['https://www.rapid7.com/blog/post/2022/09/20/cve-2022-36804-easily-exploitable-vulnerability-in-atlassian-bitbucket-server-and-data-center/'],This vulnerability allows remote attackers with read permissions to a public or private Bitbucket repositories to execute arbitrary code by sending a malicious HTTP request.,,09/10/2024,02/11/2025
3,kev,02/13/2025,Improper Access Control,CVE-2021-26085,Atlassian Confluence Server Pre-Authorization Arbitrary File Read Vulnerability,primary_impact,T1005,Data from Local System,15.1,enterprise,,,,['https://www.exploit-db.com/exploits/50377'],This vulnerability allows viewing of restricted resources via a pre-authorization arbitrary file read vulnerability.,,09/10/2024,02/11/2025
4,kev,02/13/2025,Memory Corruption,CVE-2015-3043,Adobe Flash Player Memory Corruption Vulnerability,primary_impact,T1499.004,Application or System Exploitation,15.1,enterprise,,,,['https://www.trendmicro.com/vinfo/us/threat-encyclopedia/vulnerability/4073/adobe-flash-player-memory-corruption-vulnerability-cve-2015-3043'],This vulnerability is exploited by a maliciously-crafted .swf file which can be run on a user system.,,09/10/2024,02/11/2025
5,kev,02/13/2025,Memory Corruption,CVE-2015-3043,Adobe Flash Player Memory Corruption Vulnerability,exploitation_technique,T1204.002,Malicious File,15.1,enterprise,,,,['https://www.trendmicro.com/vinfo/us/threat-encyclopedia/vulnerability/4073/adobe-flash-player-memory-corruption-vulnerability-cve-2015-3043'],This vulnerability is exploited by a maliciously-crafted .swf file which can be run on a user system.,,09/10/2024,02/11/2025
6,kev,02/13/2025,Out-of-Bounds (Read and Write),CVE-2023-26369,Adobe Acrobat and Reader Out-of-Bounds Write Vulnerability,primary_impact,T1203,Exploitation for Client Execution,15.1,enterprise,,,,"['https://www.rapid7.com/db/vulnerabilities/adobe-acrobat-cve-2023-26369/', 'https://googleprojectzero.github.io/0days-in-the-wild/0day-RCAs/2023/CVE-2023-26369.html']",This vulnerability is exploited through a user opening a malicious PDF file. ,,09/10/2024,02/11/2025
7,kev,02/13/2025,Sandbox Bypass or Escape,CVE-2014-0546,Adobe Acrobat and Reader Sandbox Bypass Vulnerability,primary_impact,T1068,Exploitation for Privilege Escalation,15.1,enterprise,,,,['https://securelist.com/cve-2014-0546-used-in-targeted-attacks-adobe-reader-update/65577/'],This vulnerability allows bypassing sandbox protection and run native code.,,09/10/2024,02/11/2025
8,kev,02/13/2025,Buffer Overflow,CVE-2010-2883,Adobe Acrobat and Reader Stack-Based Buffer Overflow Vulnerability,secondary_impact,T1059,Command and Scripting Interpreter,15.1,enterprise,,,,['https://www.exploit-db.com/exploits/16619'],This vulnerability is exploited by the user opening a malicious pdf file to achieve arbitrary code execution.,,09/10/2024,02/11/2025
9,kev,02/13/2025,Buffer Overflow,CVE-2010-2883,Adobe Acrobat and Reader Stack-Based Buffer Overflow Vulnerability,primary_impact,T1027,Obfuscated Files or Information,15.1,enterprise,,,,['https://www.exploit-db.com/exploits/16619'],This vulnerability is exploited by the user opening a malicious pdf file to achieve arbitrary code execution.,,09/10/2024,02/11/2025
10,kev,02/13/2025,Use After Free,CVE-2023-21608,Adobe Acrobat and Reader Use-After-Free Vulnerability,primary_impact,T1203,Exploitation for Client Execution,15.1,enterprise,,,,['https://hacksys.io/blogs/adobe-reader-resetform-cagg-rce-cve-2023-21608'],"This vulnerability is exploited by having a user open a maliciously-crafted pdf file, which can result in arbitrary code execution.",,09/10/2024,02/11/2025
11,kev,02/13/2025,Deserialization of Untrusted Data,CVE-2023-26359,Adobe ColdFusion Deserialization of Untrusted Data Vulnerability,primary_impact,T1059,Command and Scripting Interpreter,15.1,enterprise,,,,['https://helpx.adobe.com/security/products/coldfusion/apsb23-25.html'],This vulnerability is utilized by exploiting a public-facing server.,,09/10/2024,02/11/2025
12,kev,02/13/2025,Directory Traversal (Relative and Absolute),CVE-2013-0629,Adobe ColdFusion Directory Traversal Vulnerability,secondary_impact,T1005,Data from Local System,15.1,enterprise,,,,"['https://www.broadcom.com/support/security-center/attacksignatures/detail?asid=34403', 'https://www.exploit-db.com/exploits/24946']",This is an exploitation of a public-facing server due to password misconfiguration. Exploitation allows attackers to access restricted directories,,09/10/2024,02/11/2025
13,kev,02/13/2025,Directory Traversal (Relative and Absolute),CVE-2013-0629,Adobe ColdFusion Directory Traversal Vulnerability,primary_impact,T1202,Indirect Command Execution,15.1,enterprise,,,,"['https://www.broadcom.com/support/security-center/attacksignatures/detail?asid=34403', 'https://www.exploit-db.com/exploits/24946']",This is an exploitation of a public-facing server due to password misconfiguration. Exploitation allows attackers to access restricted directories,,09/10/2024,02/11/2025
14,kev,02/13/2025,Input Validation,CVE-2022-24086,Adobe Commerce and Magento Open Source Improper Input Validation Vulnerability,secondary_impact,T1213,Data from Information Repositories,15.1,enterprise,,,,"['https://www.akamai.com/blog/security-research/new-sophisticated-magento-campaign-xurum-webshell#:~:text=In%20early%202022%2C%20the%20CVE', 'PHP%20code%20on%20susceptible%20targets.', 'https://sansec.io/research/magento-2-cve-2022-24086']","This vulnerability can be exploited via a public-facing e-commerce application in order to achieve remote code execution. To evade detection, the exploit segment responsible for downloading and executing the remote malicious PHP code is obfuscated.",,09/10/2024,02/11/2025
15,kev,02/13/2025,Input Validation,CVE-2022-24086,Adobe Commerce and Magento Open Source Improper Input Validation Vulnerability,primary_impact,T1027,Obfuscated Files or Information,15.1,enterprise,,,,"['https://www.akamai.com/blog/security-research/new-sophisticated-magento-campaign-xurum-webshell#:~:text=In%20early%202022%2C%20the%20CVE,PHP%20code%20on%20susceptible%20targets.', 'https://sansec.io/research/magento-2-cve-2022-24086']","This vulnerability can be exploited via a public-facing e-commerce application in order to achieve remote code execution. To evade detection, the exploit segment responsible for downloading and executing the remote malicious PHP code is obfuscated.",,09/10/2024,02/11/2025
16,kev,02/13/2025,Code Execution,CVE-2014-7169,GNU Bourne-Again Shell (Bash) Arbitrary Code Execution Vulnerability,exploitation_technique,T1190,Exploit Public-Facing Application,15.1,enterprise,,,,['http://lcamtuf.blogspot.com/2014/09/quick-notes-about-bash-bug-its-impact.html'],CVE-2014-7169 allows environment variables set from service/HTTP requests on a serve (e.g. HTTP_COOKIE) in Bash shell that allows for spawning a child shell with the authority/privilege level of the parent shell to perform RCE of code provided by the adversary in the request. ,,09/10/2024,02/11/2025
17,kev,02/13/2025,Code Execution,CVE-2014-7169,GNU Bourne-Again Shell (Bash) Arbitrary Code Execution Vulnerability,exploitation_technique,T1133,External Remote Services,15.1,enterprise,,,,['http://lcamtuf.blogspot.com/2014/09/quick-notes-about-bash-bug-its-impact.html'],CVE-2014-7169 allows environment variables set from service/HTTP requests on a serve (e.g. HTTP_COOKIE) in Bash shell that allows for spawning a child shell with the authority/privilege level of the parent shell to perform RCE of code provided by the adversary in the request. ,,09/10/2024,02/11/2025
18,kev,02/13/2025,Code Execution,CVE-2014-7169,GNU Bourne-Again Shell (Bash) Arbitrary Code Execution Vulnerability,primary_impact,T1059.004,Unix Shell,15.1,enterprise,,,,['http://lcamtuf.blogspot.com/2014/09/quick-notes-about-bash-bug-its-impact.html'],CVE-2014-7169 allows environment variables set from service/HTTP requests on a serve (e.g. HTTP_COOKIE) in Bash shell that allows for spawning a child shell with the authority/privilege level of the parent shell to perform RCE of code provided by the adversary in the request. ,,09/10/2024,02/11/2025
19,kev,02/13/2025,Code Execution,CVE-2014-6271,GNU Bourne-Again Shell (Bash) Arbitrary Code Execution Vulnerability,exploitation_technique,T1190,Exploit Public-Facing Application,15.1,enterprise,,,,['https://lcamtuf.blogspot.com/2014/09/quick-notes-about-bash-bug-its-impact.html'],CVE-2014-6271 allows environment variables set from service/HTTP requests on a serve (e.g. HTTP_COOKIE) in Bash shell that allows for spawning a child shell with the authority/privilege level of the parent shell to perform RCE of code provided by the adversary in the request. ,,09/10/2024,02/11/2025
20,kev,02/13/2025,Code Execution,CVE-2014-6271,GNU Bourne-Again Shell (Bash) Arbitrary Code Execution Vulnerability,exploitation_technique,T1133,External Remote Services,15.1,enterprise,,,,['https://lcamtuf.blogspot.com/2014/09/quick-notes-about-bash-bug-its-impact.html'],CVE-2014-6271 allows environment variables set from service/HTTP requests on a serve (e.g. HTTP_COOKIE) in Bash shell that allows for spawning a child shell with the authority/privilege level of the parent shell to perform RCE of code provided by the adversary in the request. ,,09/10/2024,02/11/2025
21,kev,02/13/2025,Code Execution,CVE-2014-6271,GNU Bourne-Again Shell (Bash) Arbitrary Code Execution Vulnerability,primary_impact,T1059.004,Unix Shell,15.1,enterprise,,,,['https://lcamtuf.blogspot.com/2014/09/quick-notes-about-bash-bug-its-impact.html'],CVE-2014-6271 allows environment variables set from service/HTTP requests on a serve (e.g. HTTP_COOKIE) in Bash shell that allows for spawning a child shell with the authority/privilege level of the parent shell to perform RCE of code provided by the adversary in the request. ,,09/10/2024,02/11/2025
22,kev,02/13/2025,Use After Free,CVE-2021-21206,Google Chromium Blink Use-After-Free Vulnerability,exploitation_technique,T1203,Exploitation for Client Execution,15.1,enterprise,,,,['https://www.zerodayinitiative.com/advisories/ZDI-21-411/'],CVE-2021-21206 allows an adversary to use JavaScript to exploit the Blink rendering engine of the Chromium Browser that allows for execution of arbitrary code.,,09/10/2024,02/11/2025
23,kev,02/13/2025,Use After Free,CVE-2021-21206,Google Chromium Blink Use-After-Free Vulnerability,exploitation_technique,T1059.007,JavaScript,15.1,enterprise,,,,['https://www.zerodayinitiative.com/advisories/ZDI-21-411/'],CVE-2021-21206 allows an adversary to use JavaScript to exploit the Blink rendering engine of the Chromium Browser that allows for execution of arbitrary code.,,09/10/2024,02/11/2025
24,kev,02/13/2025,Use After Free,CVE-2021-30554,Google Chromium WebGL Use-After-Free Vulnerability,exploitation_technique,T1059.007,JavaScript,15.1,enterprise,,,,"['https://attackerkb.com/topics/BAdojKKNTO/cve-2021-30554', 'https://thehackernews.com/2021/06/update-your-chrome-browser-to-patch-yet.html']",CVE-2021-30554 allows an adversary to use JavaScript to exploit WebGL component of the Chromium browser that allows for execution of arbitrary code.,,09/10/2024,02/11/2025
25,kev,02/13/2025,Use After Free,CVE-2021-30554,Google Chromium WebGL Use-After-Free Vulnerability,exploitation_technique,T1203,Exploitation for Client Execution,15.1,enterprise,,,,"['https://attackerkb.com/topics/BAdojKKNTO/cve-2021-30554', 'https://thehackernews.com/2021/06/update-your-chrome-browser-to-patch-yet.html']",CVE-2021-30554 allows an adversary to use JavaScript to exploit WebGL component of the Chromium browser that allows for execution of arbitrary code.,,09/10/2024,02/11/2025
26,kev,02/13/2025,Use After Free,CVE-2021-37975,Google Chromium V8 Use-After-Free Vulnerability,exploitation_technique,T1059.007,JavaScript,15.1,enterprise,,,,['https://github.blog/security/vulnerability-research/chrome-in-the-wild-bug-analysis-cve-2021-37975/'],CVE-2021-37975 allows an adversary to use JavaScript to exploit the Chromium browser V8 JavaScript engine which allows for a write into the heap.,,09/10/2024,02/11/2025
27,kev,02/13/2025,Use After Free,CVE-2021-37975,Google Chromium V8 Use-After-Free Vulnerability,primary_impact,T1203,Exploitation for Client Execution,15.1,enterprise,,,,['https://github.blog/security/vulnerability-research/chrome-in-the-wild-bug-analysis-cve-2021-37975/'],CVE-2021-37975 allows an adversary to use JavaScript to exploit the Chromium browser V8 JavaScript engine which allows for a write into the heap.,,09/10/2024,02/11/2025
28,kev,02/13/2025,Buffer Overflow,CVE-2021-21148,Google Chromium V8 Heap Buffer Overflow Vulnerability,exploitation_technique,T1059.007,JavaScript,15.1,enterprise,,,,"['https://threatprotect.qualys.com/2021/02/08/google-chrome-heap-buffer-overflow-vulnerability-cve-2021-21148/', 'https://www.tenable.com/blog/cve-2021-21148-google-chrome-heap-buffer-overflow-vulnerability-exploited-in-the-wild']",CVE-2021-21148 allows an adversary to use JavaScript to exploit the Chromium browser V8 JavaScript engine which allows for a write into the heap.,,09/10/2024,02/11/2025
29,kev,02/13/2025,Buffer Overflow,CVE-2021-21148,Google Chromium V8 Heap Buffer Overflow Vulnerability,primary_impact,T1203,Exploitation for Client Execution,15.1,enterprise,,,,"['https://www.tenable.com/blog/cve-2021-21148-google-chrome-heap-buffer-overflow-vulnerability-exploited-in-the-wild', 'https://threatprotect.qualys.com/2021/02/08/google-chrome-heap-buffer-overflow-vulnerability-cve-2021-21148/']",CVE-2021-21148 allows an adversary to use JavaScript to exploit the Chromium browser V8 JavaScript engine which allows for a write into the heap.,,09/10/2024,02/11/2025
30,kev,02/13/2025,Race Condition,CVE-2021-21166,Google Chromium Race Condition Vulnerability,exploitation_technique,T1059.007,JavaScript,15.1,enterprise,,,,['https://googleprojectzero.github.io/0days-in-the-wild/0day-RCAs/2021/CVE-2021-21166.html'],CVE-2021-21166 allows an adversary to use JavaScript to exploit the Chromium browser via the audio object using a race condition to write into the heap. ,,09/10/2024,02/11/2025
31,kev,02/13/2025,Race Condition,CVE-2021-21166,Google Chromium Race Condition Vulnerability,primary_impact,T1203,Exploitation for Client Execution,15.1,enterprise,,,,['https://googleprojectzero.github.io/0days-in-the-wild/0day-RCAs/2021/CVE-2021-21166.html'],CVE-2021-21166 allows an adversary to use JavaScript to exploit the Chromium browser via the audio object using a race condition to write into the heap. ,,09/10/2024,02/11/2025
32,kev,02/13/2025,Privilege Escalation,CVE-2024-38080,Microsoft Windows Hyper-V Privilege Escalation Vulnerability,exploitation_technique,T1204.002,Malicious File,15.1,enterprise,,,,"['https://www.crowdstrike.com/en-us/blog/patch-tuesday-analysis-july-2024/', 'https://thehackernews.com/2024/07/microsofts-july-update-patches-143.html']","This zero-day vulnerability presents itself after an adversary has already infiltrated the victim's network and enables the adversary to obtain SYSTEM level privileges via Microsoft Windows Hyper-V product. As of now, details of how the attacker's methods to exploit this vulnerability are undisclosed. 
",,09/10/2024,02/11/2025
33,kev,02/13/2025,Code Execution,CVE-2022-47966,Zoho ManageEngine Multiple Products Remote Code Execution Vulnerability,primary_impact,T1136.001,Local Account,15.1,enterprise,,,,"['https://www.cisa.gov/sites/default/files/2023-09/aa23-250a-apt-actors-exploit-cve-2022-47966-and-cve-2022-42475_1.pdf', 'https://github.com/horizon3ai/CVE-2022-47966', 'https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-250a']","CVE-2022-47966 is a remote code execution vulnerability that affects many ManageEngine products due to misconfiguration of security features. Adversaries can utilized this vulnerability to run arbitrary java. APTs have been observed exploiting this vulnerability to gain access, to public-facing applications, establish persistence, and move laterally.

They've also been observed to create local user accounts with administrative privileges, use valid but disabled user accounts, delete logs, establish command and control communications, ... **the list goes on and on due to fantastic, detailed reporting**
",,09/10/2024,02/11/2025
34,kev,02/13/2025,Code Execution,CVE-2022-47966,Zoho ManageEngine Multiple Products Remote Code Execution Vulnerability,primary_impact,T1068,Exploitation for Privilege Escalation,15.1,enterprise,,,,"['https://www.cisa.gov/sites/default/files/2023-09/aa23-250a-apt-actors-exploit-cve-2022-47966-and-cve-2022-42475_1.pdf', 'https://github.com/horizon3ai/CVE-2022-47966', 'https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-250a']","CVE-2022-47966 is a remote code execution vulnerability that affects many ManageEngine products due to misconfiguration of security features. Adversaries can utilized this vulnerability to run arbitrary java. APTs have been observed exploiting this vulnerability to gain access, to public-facing applications, establish persistence, and move laterally.

They've also been observed to create local user accounts with administrative privileges, use valid but disabled user accounts, delete logs, establish command and control communications, ... **the list goes on and on due to fantastic, detailed reporting**
",,09/10/2024,02/11/2025
35,kev,02/13/2025,Use After Free,CVE-2021-29256,Arm Mali GPU Kernel Driver Use-After-Free Vulnerability,secondary_impact,T1005,Data from Local System,15.1,enterprise,,,,"['https://vuldb.com/?id.175586', 'https://www.tenable.com/plugins/nessus/178128', 'https://www.lexology.com/library/detail.aspx?g=c57b19cd-73e4-43e2-8034-f7fa78166c63', 'https://source.android.com/docs/security/bulletin/2023-07-01#arm-components', 'https://www.cisecurity.org/advisory/multiple-vulnerabilities-in-google-android-os-could-allow-for-remote-code-execution_2023-072']","This vulnerability is exploited by an unprivileged attacker by conducting malicious activity in GPU memory, gaining access to already freed memory. If successful, the threat actor could escalate their privileges to root as well as gain access to sensitive information. Detailed information about how adversaries exploit the GPU are not publicly available. ",,09/10/2024,02/11/2025
36,kev,02/13/2025,Use After Free,CVE-2021-29256,Arm Mali GPU Kernel Driver Use-After-Free Vulnerability,primary_impact,T1068,Exploitation for Privilege Escalation,15.1,enterprise,,,,"['https://vuldb.com/?id.175586', 'https://www.tenable.com/plugins/nessus/178128', 'https://www.lexology.com/library/detail.aspx?g=c57b19cd-73e4-43e2-8034-f7fa78166c63', 'https://source.android.com/docs/security/bulletin/2023-07-01#arm-components', 'https://www.cisecurity.org/advisory/multiple-vulnerabilities-in-google-android-os-could-allow-for-remote-code-execution_2023-072']","This vulnerability is exploited by an unprivileged attacker by conducting malicious activity in GPU memory, gaining access to already freed memory. If successful, the threat actor could escalate their privileges to root as well as gain access to sensitive information. Detailed information about how adversaries exploit the GPU are not publicly available. ",,09/10/2024,02/11/2025
37,kev,02/13/2025,Type Confusion,CVE-2024-5274,Google Chromium V8 Type Confusion Vulnerability,primary_impact,T1203,Exploitation for Client Execution,15.1,enterprise,,,,['https://blog.google/threat-analysis-group/state-backed-attackers-and-commercial-surveillance-vendors-repeatedly-use-the-same-exploits/'],This vulnerability is exploited by the hosting of malicious content on a website. Adversaries use this to deliver an information-stealing payload within Chrome.,,09/10/2024,02/11/2025
38,kev,02/13/2025,Code Execution,CVE-2020-0688,Microsoft Exchange Server Validation Key Remote Code Execution Vulnerability,primary_impact,T1114,Email Collection,15.1,enterprise,,,,"['https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-047a', 'https://www.cisa.gov/news-events/cybersecurity-advisories/aa20-258a']","CVE-2020-0688 is a remote code execution vulnerability exists in Microsoft Exchange Server. CISA has observed the actors exploiting CVE-2020-0688 for remote code execution to enable email collection of targeted networks. Also, Threat actors used credentials in conjunction with known vulnerabilities on public-facing applications, such as virtual private networks (VPNs)—CVE-2020-0688 and CVE-2020-17144—to escalate privileges and gain remote code execution (RCE) on the exposed applications.",,09/10/2024,02/11/2025
39,kev,02/13/2025,Code Execution,CVE-2020-0688,Microsoft Exchange Server Validation Key Remote Code Execution Vulnerability,exploitation_technique,T1190,Exploit Public-Facing Application,15.1,enterprise,,,,"['https://www.cisa.gov/news-events/cybersecurity-advisories/aa21-209a', 'https://www.cisa.gov/news-events/cybersecurity-advisories/aa21-209a']","CVE-2020-0688 is a RCE vulnerability exists in Microsoft Exchange software when the software fails to properly handle objects in memory. A nation-state APT actor has been observed exploiting this vulnerability to conduct widespread, distributed, and anonymized brute force access attempts against hundreds of government and private sector targets worldwide.",,09/10/2024,02/11/2025
